s1 - NLM,s2 - GLM,s3 - BM3D,p1 - NLM,p2 - GLM,p3 - BM3D
"0,886117149","0,89959867","0,917468","34,17020532","34,93203241","35,58927295"
"0,916176879","0,927443404","0,943066","33,01541986","33,94255235","34,62051702"
"0,811972556","0,863978367","0,894222","31,5212747","32,63886601","33,53037426"
"0,810362095","0,859028748","0,909195","31,49148543","32,62020952","32,69381208"
"0,846741132","0,891059867","0,88991","31,8110701","33,20061497","33,57199468"
"0,880520835","0,891220211","0,914778","31,34821463","31,86113648","34,01991715"
"0,867871707","0,88817858","0,910683","30,36866299","30,99092989","31,21682807"
"0,854138596","0,889632283","0,902959","31,50777424","32,5408662","31,41008306"
"0,894521335","0,906928191","0,925232","31,24660342","31,75257762","33,51889719"
"0,902434077","0,90959852","0,928932","33,65503386","34,54771115","30,95597874"
"0,887162527","0,901575365","0,936276","31,32510952","31,89945516","35,66732371"
"0,81669287","0,853073216","0,910009","31,0756777","31,91355859","31,69251362"
"0,892182456","0,913137149","0,876291","32,18736637","33,19145272","31,67362714"
"0,889347621","0,896288039","0,94132","28,97553045","29,27686659","34,23237652"
"0,862253817","0,874341468","0,914093","30,01820503","30,45750703","28,41216258"
"0,820222215","0,840704453","0,889018","28,6593893","28,79125069","29,76946141"
"0,842010405","0,872558958","0,876302","29,6040886","30,37175767","28,95287333"
"0,863208659","0,878969359","0,893391","29,54340501","29,76881951","30,02272031"
"0,858591864","0,886244203","0,883152","31,05583508","31,72534473","26,0507135"
"0,842817093","0,861390103","0,911164","30,09742159","30,51596281","31,64381845"
"0,825423829","0,858372445","0,891113","31,50206251","32,19930562","31,22999792"
"0,829230195","0,848290623","0,893352","30,89494227","31,27627634","33,02107049"
"0,88383904","0,900127874","0,874631","34,6555248","35,70983106","30,72035977"
"0,839946221","0,868323687","0,927253","32,34557949","33,18435978","36,6862158"
"0,865526429","0,882828446","0,902027","34,26336694","35,11503832","34,08777936"
"0,798776342","0,852755636","0,91566","32,01023516","33,26707051","36,20784628"
"0,896199741","0,898239085","0,886991","34,59005306","35,08155826","34,13895965"
"0,829861223","0,862435365","0,919906","32,43234231","33,22379606","35,5395777"
"0,820614967","0,84791982","0,891141","28,69376189","29,19798126","34,12725972"
"0,844247732","0,881790283","0,875656","32,24000764","33,24461994","29,32752388"
"0,803599607","0,847787805","0,874042","30,57259191","31,31077984","31,42691701"
"0,85689709","0,867210794","0,879455","28,85714784","29,00272685","28,70131941"
"0,77214606","0,797512917","0,819463","30,09366595","30,638084","28,5561257"
"0,783162015","0,838243946","0,871602","30,49428513","31,36926055","31,79437216"
"0,841741628","0,873710038","0,898951","30,05797467","30,69668921","31,36511039"
"0,862404353","0,880234425","0,892426","32,21075256","32,78250423","33,26339873"
"0,8611574","0,894659738","0,915702","30,56760603","31,28893133","31,91350475"
"0,726657939","0,797181086","0,847619","29,63909542","30,55901287","31,58181547"
"0,855056797","0,881976213","0,910679","32,12378668","32,93731794","33,9783317"
"0,881141597","0,888461527","0,921777","33,52401763","33,99388577","35,20407643"
"0,802288422","0,853603665","0,89184","32,5733086","33,99678622","35,0530222"
"0,846582636","0,887300562","0,912196","31,84671512","32,95435452","33,78184917"
"0,839272007","0,873153069","0,883487","31,66645342","32,49990469","29,53225214"
"0,897253961","0,920973219","0,94422","32,29890506","33,54365821","34,1029807"
"0,96295761","0,962808969","0,948724","28,25322455","28,42224934","24,84705619"
"0,850360384","0,869780157","0,88748","31,43251971","32,20192203","32,82480189"
"0,862439019","0,891187824","0,917479","29,70871757","30,36046529","30,79235487"
"0,858199816","0,887258048","0,907616","29,3558073","30,00967189","30,25978947"
"0,8882086","0,911205273","0,935257","32,74383861","33,85612667","34,89777988"
"0,939010415","0,948346219","0,972555","31,42956342","31,74007119","29,54420438"
